Date;Time;lg0b1pb_activePower;lg1b1pb_activePower;lg2b1pb_activePower;lg3b1pb_activePower;lg4b1pb_activePower;lg5b1pb_activePower;
15/01/1995;00:22:30;14722,399999999998;148659,60000000015;27220,399999999994;71792,40000000004;88899,8;46584,200000000026;
15/01/1995;00:22:40;14722,399999999998;148659,60000000015;27220,399999999994;71792,40000000004;88899,8;46584,200000000026;
15/01/1995;00:22:50;14722,399999999998;148659,60000000015;27220,399999999994;71792,40000000004;88899,8;46584,200000000026;
15/01/1995;00:23:00;14722,399999999998;149890,60000000018;27220,399999999994;72516,00000000004;89041,0;45428,200000000026;
15/01/1995;00:23:10;14722,399999999998;149890,60000000018;27220,399999999994;72516,00000000004;89041,0;45428,200000000026;
15/01/1995;00:23:20;14722,399999999998;149890,60000000018;27220,399999999994;72516,00000000004;89041,0;45428,200000000026;
15/01/1995;00:23:30;14722,399999999998;148659,60000000015;27220,399999999994;71642,40000000005;87960,00000000001;44995,800000000025;
15/01/1995;00:23:40;14722,399999999998;148659,60000000015;27220,399999999994;71642,40000000005;87960,00000000001;44995,800000000025;
15/01/1995;00:23:50;14722,399999999998;148659,60000000015;27220,399999999994;71642,40000000005;87960,00000000001;44995,800000000025;
15/01/1995;00:24:00;14214,999999999996;148593,40000000014;27370,399999999994;71576,20000000004;88326,20000000001;44995,800000000025;
15/01/1995;00:24:10;14214,999999999996;148593,40000000014;27370,399999999994;71576,20000000004;88326,20000000001;44995,800000000025;
15/01/1995;00:24:20;14214,999999999996;148593,40000000014;27370,399999999994;71576,20000000004;88326,20000000001;44995,800000000025;
15/01/1995;00:24:30;14431,199999999995;150340,60000000015;27370,399999999994;71792,40000000004;88833,6;44995,800000000025;
15/01/1995;00:24:40;14431,199999999995;150340,60000000015;27370,399999999994;71792,40000000004;88833,6;44995,800000000025;
15/01/1995;00:24:50;14431,199999999995;150340,60000000015;27370,399999999994;71792,40000000004;88833,6;44995,800000000025;
15/01/1995;00:25:00;14506,199999999995;149908,20000000013;27586,599999999995;72299,80000000005;88983,6;45287,000000000015;
15/01/1995;00:25:10;14506,199999999995;149908,20000000013;27586,599999999995;72299,80000000005;88983,6;45287,000000000015;
15/01/1995;00:25:20;14506,199999999995;149908,20000000013;27586,599999999995;72299,80000000005;88983,6;45287,000000000015;
15/01/1995;00:25:30;14506,199999999995;149917,00000000015;27586,599999999995;72158,60000000003;88326,20000000003;45287,000000000015;
15/01/1995;00:25:40;14506,199999999995;149917,00000000015;27586,599999999995;72158,60000000003;88326,20000000003;45287,000000000015;
15/01/1995;00:25:50;14506,199999999995;149917,00000000015;27586,599999999995;72158,60000000003;88326,20000000003;45287,000000000015;
15/01/1995;00:26:00;14506,199999999995;149193,40000000014;28018,999999999996;71867,40000000005;88110,00000000001;44779,600000000006;
15/01/1995;00:26:10;14506,199999999995;149193,40000000014;28018,999999999996;71867,40000000005;88110,00000000001;44779,600000000006;
15/01/1995;00:26:20;14506,199999999995;149193,40000000014;28018,999999999996;71867,40000000005;88110,00000000001;44779,600000000006;
15/01/1995;00:26:30;14506,199999999995;148686,00000000012;28018,999999999996;72083,60000000003;87752,60000000002;44347,20000000001;
15/01/1995;00:26:40;14506,199999999995;148686,00000000012;28018,999999999996;72083,60000000003;87752,60000000002;44347,20000000001;
15/01/1995;00:26:50;14506,199999999995;148686,00000000012;28018,999999999996;72083,60000000003;87752,60000000002;44347,20000000001;
15/01/1995;00:27:00;13998,799999999996;150067,00000000017;28018,999999999996;72299,80000000005;86305,40000000004;43914,80000000002;
15/01/1995;00:27:10;13998,799999999996;150067,00000000017;28018,999999999996;72299,80000000005;86305,40000000004;43914,80000000002;
15/01/1995;00:27:20;13998,799999999996;150067,00000000017;28018,999999999996;72299,80000000005;86305,40000000004;43914,80000000002;
15/01/1995;00:27:30;13998,799999999996;149277,20000000013;28526,399999999994;71576,20000000004;85731,80000000003;43773,60000000002;
15/01/1995;00:27:40;13998,799999999996;149277,20000000013;28526,399999999994;71576,20000000004;85731,80000000003;43773,60000000002;
15/01/1995;00:27:50;13998,799999999996;149277,20000000013;28526,399999999994;71576,20000000004;85731,80000000003;43773,60000000002;
15/01/1995;00:28:00;13998,799999999996;148262,40000000014;28310,199999999997;72158,60000000003;85299,40000000004;43773,60000000002;
15/01/1995;00:28:10;13998,799999999996;148262,40000000014;28310,199999999997;72158,60000000003;85299,40000000004;43773,60000000002;
15/01/1995;00:28:20;13998,799999999996;148262,40000000014;28310,199999999997;72158,60000000003;85299,40000000004;43773,60000000002;
15/01/1995;00:28:30;14214,999999999996;147172,60000000012;28093,999999999996;71726,20000000004;85440,60000000003;43773,60000000002;
15/01/1995;00:28:40;14214,999999999996;147172,60000000012;28093,999999999996;71726,20000000004;85440,60000000003;43773,60000000002;
15/01/1995;00:28:50;14214,999999999996;147172,60000000012;28093,999999999996;71726,20000000004;85440,60000000003;43773,60000000002;
15/01/1995;00:29:00;14214,999999999996;146806,4000000001;28093,999999999996;71726,20000000004;84924,40000000004;43773,60000000002;
15/01/1995;00:29:10;14214,999999999996;146806,4000000001;28093,999999999996;71726,20000000004;84924,40000000004;43773,60000000002;
15/01/1995;00:29:20;14214,999999999996;146806,4000000001;28093,999999999996;71726,20000000004;84924,40000000004;43773,60000000002;
15/01/1995;00:29:30;14506,199999999997;144860,60000000012;27445,399999999994;71726,20000000004;84567,00000000004;43050,00000000003;
15/01/1995;00:29:40;14506,199999999997;144860,60000000012;27445,399999999994;71726,20000000004;84567,00000000004;43050,00000000003;
15/01/1995;00:29:50;14506,199999999997;144860,60000000012;27445,399999999994;71726,20000000004;84567,00000000004;43050,00000000003;
15/01/1995;00:30:00;14506,199999999997;144644,4000000001;27445,399999999994;71293,80000000005;85581,80000000003;43050,00000000002;
15/01/1995;00:30:10;14506,199999999997;144644,4000000001;27445,399999999994;71293,80000000005;85581,80000000003;43050,00000000002;
15/01/1995;00:30:20;14506,199999999997;144644,4000000001;27445,399999999994;71293,80000000005;85581,80000000003;43050,00000000002;
15/01/1995;00:30:30;14214,999999999996;143920,8000000001;27012,999999999993;71293,80000000005;85074,40000000004;43050,00000000002;
15/01/1995;00:30:40;14214,999999999996;143920,8000000001;27012,999999999993;71293,80000000005;85074,40000000004;43050,00000000002;
15/01/1995;00:30:50;14214,999999999996;143920,8000000001;27012,999999999993;71293,80000000005;85074,40000000004;43050,00000000002;
15/01/1995;00:31:00;14214,999999999996;143122,20000000013;27012,999999999993;71077,60000000005;84858,20000000004;42542,60000000002;
15/01/1995;00:31:10;14214,999999999996;143122,20000000013;27012,999999999993;71077,60000000005;84858,20000000004;42542,60000000002;
15/01/1995;00:31:20;14214,999999999996;143122,20000000013;27012,999999999993;71077,60000000005;84858,20000000004;42542,60000000002;
15/01/1995;00:31:30;14431,199999999997;143488,40000000014;27304,199999999993;71951,20000000006;84642,00000000004;42542,60000000002;
15/01/1995;00:31:40;14431,199999999997;143488,40000000014;27304,199999999993;71951,20000000006;84642,00000000004;42542,60000000002;
15/01/1995;00:31:50;14431,199999999997;143488,40000000014;27304,199999999993;71951,20000000006;84642,00000000004;42542,60000000002;
15/01/1995;00:32:00;14431,199999999997;143131,00000000012;26655,59999999999;72317,40000000005;83993,40000000005;42251,40000000002;
15/01/1995;00:32:10;14431,199999999997;143131,00000000012;26655,59999999999;72317,40000000005;83993,40000000005;42251,40000000002;
15/01/1995;00:32:20;14431,199999999997;143131,00000000012;26655,59999999999;72317,40000000005;83993,40000000005;42251,40000000002;
15/01/1995;00:32:30;14506,199999999997;142266,20000000013;26655,599999999995;71810,00000000004;83561,00000000006;42542,60000000003;
15/01/1995;00:32:40;14506,199999999997;142266,20000000013;26655,599999999995;71810,00000000004;83561,00000000006;42542,60000000003;
15/01/1995;00:32:50;14506,199999999997;142266,20000000013;26655,599999999995;71810,00000000004;83561,00000000006;42542,60000000003;
15/01/1995;00:33:00;14506,199999999997;141467,60000000015;27379,199999999993;71302,60000000005;82912,40000000007;42758,80000000003;
15/01/1995;00:33:10;14506,199999999997;141467,60000000015;27379,199999999993;71302,60000000005;82912,40000000007;42758,80000000003;
15/01/1995;00:33:20;14506,199999999997;141467,60000000015;27379,199999999993;71302,60000000005;82912,40000000007;42758,80000000003;
15/01/1995;00:33:30;14506,199999999997;141326,40000000014;26946,799999999992;71161,40000000005;82771,20000000007;42035,200000000026;
15/01/1995;00:33:40;14506,199999999997;141326,40000000014;26946,799999999992;71161,40000000005;82771,20000000007;42035,200000000026;
15/01/1995;00:33:50;14506,199999999997;141326,40000000014;26946,799999999992;71161,40000000005;82771,20000000007;42035,200000000026;
15/01/1995;00:34:00;14289,999999999998;140461,60000000015;26655,59999999999;71527,60000000005;82480,00000000006;42326,40000000002;
15/01/1995;00:34:10;14289,999999999998;140461,60000000015;26655,59999999999;71527,60000000005;82480,00000000006;42326,40000000002;
15/01/1995;00:34:20;14289,999999999998;140461,60000000015;26655,59999999999;71527,60000000005;82480,00000000006;42326,40000000002;
15/01/1995;00:34:30;14289,999999999996;139380,60000000018;26655,59999999999;71236,40000000005;82113,80000000006;42617,60000000002;
15/01/1995;00:34:40;14289,999999999996;139380,60000000018;26655,59999999999;71236,40000000005;82113,80000000006;42617,60000000002;
15/01/1995;00:34:50;14289,999999999996;139380,60000000018;26655,59999999999;71236,40000000005;82113,80000000006;42617,60000000002;
15/01/1995;00:35:00;14289,999999999996;138948,20000000022;26364,39999999999;71236,40000000007;82113,80000000006;42326,40000000002;
15/01/1995;00:35:10;14289,999999999996;138948,20000000022;26364,39999999999;71236,40000000007;82113,80000000006;42326,40000000002;
15/01/1995;00:35:20;14289,999999999996;138948,20000000022;26364,39999999999;71236,40000000007;82113,80000000006;42326,40000000002;
